recordType,section,metric,value,label,startDate,endDate,tradingDays,totalReturn,cagr,annualizedVolatility,sharpe,maxDrawdown,entryDate,exitDate,regime,quantity,vixStdBand,sigma2SignalTag,sigma2Count60,sigma2Count20,entryUnderlying,exitUnderlying,strike,entryCost,leapsExitValue,shortCallPremiumCollected,shortCallSettlements,shortCallCloseCost,shortCallNetCash,totalExitValue,pnl,pnlPct,ageDays,entryRsi,entryVix,entryVixMean,entryVixStd,vixThreshold,buyReason,sellReason,rawReason
summary,strategy_summary,symbol,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,backtestStart,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,backtestEnd,2026-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,model,Approximate Black-Scholes LEAPS without short call overlay using Yahoo adjusted close and trailing realized volatility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,entries,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,contractsEntered,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,closedTrades,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,openPositions,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,wins,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,losses,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,winRate,0.92727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,initialCapital,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,skippedSignalsInsufficientCash,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,endingEquity,309632.61337912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,totalPnl,289632.61337912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,multipleOnInitialCapital,15.48163067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,cagr,0.21206245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,maxDrawdown,-0.45421523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,availableCash,284413.59578099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,endingOpenLeapsValue,25219.01759813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,endingShortCallLiability,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,signal,RSI(14) < 35 with tiered VIX entry filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,option,"~730 days to expiry, target delta 0.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sigma1,"mean+1std <= VIX < mean+2std -> buy 1 contract max once per week, exits <12m +120%, 12-15m +60%, 16-18m +30%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sigma2First,"first RSI<35 and VIX >= mean+2std signal in the last 60 trading days -> buy 1 contract, exits <12m +150%, 12-15m +80%, 16-18m +30%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sigma2Repeat,"second or later RSI<35 and VIX >= mean+2std signal in the last 20 trading days -> buy 2 contracts, or 1 if cash only covers one, exits <12m +150%, 12-15m +80%, 16-18m +30%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sigma2GapAssumption,"if a sigma2 day is not the first sigma2 signal in the last 60 trading days and also not the second-or-later sigma2 signal in the last 20 trading days, no sigma2 entry is taken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,shortCallOverlay,disabled for comparison run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,shortCallIvAssumption,not applicable because short call overlay is disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,forcedExit,force exit LEAPS at 180 days to expiry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,capital,start with $20000 and do not add capital later,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sizingAssumption,"sigma1 requires enough cash for 1 contract; sigma2 repeat buys 2 if possible, otherwise 1 if cash covers one contract; otherwise the signal is skipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,riskFreeRate,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,comparison_metrics,,,Strategy,2016-03-01,2026-03-31,2536,11.11062781,0.28070421,0.38236573,0.75659551,-0.45421523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,comparison_metrics,,,Nasdaq Composite,2016-03-01,2026-03-31,2536,3.60393859,0.16354091,0.21900228,0.66603802,-0.3639528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,comparison_metrics,,,S&P 500,2016-03-01,2026-03-31,2536,2.29998236,0.12573387,0.17988836,0.58338307,-0.3392496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trade,trade_log,,,,,,,,,,,,2014-10-13,2015-07-17,sigma1_weekly_1lot,1,1,,,,85.17,104.94,82,1184.9855,2642.583,0,0,0,0,2642.583,1457.5975,1.230055,277,31.4465,24.64,17.706,6.2173,23.9233,"RSI(14) 31.4465 < 35; VIX 24.64 >= 23.9233; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",held <12 months and reached +120% profit,take_profit_120_before_12m
trade,trade_log,,,,,,,,,,,,2015-08-21,2016-08-22,sigma1_weekly_1lot,1,1,,,,94.6021,109.6239,91,1429.4674,2346.3264,0,0,0,0,2346.3264,916.859,0.641399,367,24.7407,28.03,17.2398,5.8253,23.0651,"RSI(14) 24.7407 < 35; VIX 28.03 >= 23.0651; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",held 12-15 months and reached +60% profit,take_profit_60_12_to_15m
trade,trade_log,,,,,,,,,,,,2015-08-24,2016-08-23,sigma2_first_60d_1lot,1,2,first_in_60d,1,1,90.9622,109.8201,87,1429.979,2673.9732,0,0,0,0,2673.9732,1243.9942,0.869939,365,19.5554,40.74,17.2599,5.8633,28.9865,"RSI(14) 19.5554 < 35; VIX 40.74 >= 28.9865; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; no short call overlay",held 12-15 months and reached +80% profit,take_profit_80_12_to_15m
trade,trade_log,,,,,,,,,,,,2015-08-25,2016-08-24,sigma2_repeat_20d_2lot,2,2,second_or_later_in_20d,2,2,90.6203,109.1101,87,2812.26,5221.2978,0,0,0,0,5221.2978,2409.0378,0.85662,365,19.1495,36.02,17.276,5.8864,29.0487,"RSI(14) 19.1495 < 35; VIX 36.02 >= 29.0487; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; no short call overlay",held 12-15 months and reached +80% profit,take_profit_80_12_to_15m
trade,trade_log,,,,,,,,,,,,2015-09-28,2016-09-27,sigma1_weekly_1lot,1,1,,,,92.6004,110.9755,88,1594.8233,2658.5253,0,0,0,0,2658.5253,1063.702,0.666972,365,34.7682,27.63,17.4221,5.9351,23.3571,"RSI(14) 34.7682 < 35; VIX 27.63 >= 23.3571; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",held 12-15 months and reached +60% profit,take_profit_60_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-01-19,2017-01-18,sigma1_weekly_1lot,1,1,,,,93.8772,115.568,89,1693.8043,2957.1968,0,0,0,0,2957.1968,1263.3925,0.74589,365,31.4974,26.05,17.4706,5.8193,23.2899,"RSI(14) 31.4974 < 35; VIX 26.05 >= 23.2899; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",held 12-15 months and reached +60% profit,take_profit_60_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-01-11,2017-01-24,sigma1_weekly_1lot,1,1,,,,96.9148,116.6388,92,1705.0429,2769.2623,0,0,0,0,2769.2623,1064.2194,0.62416,379,29.8031,24.3,17.441,5.8109,23.252,"RSI(14) 29.8031 < 35; VIX 24.3 >= 23.252; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",held 12-15 months and reached +60% profit,take_profit_60_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-01-07,2017-01-25,sigma1_weekly_1lot,1,1,,,,97.4164,117.8129,92,1745.2799,2876.4988,0,0,0,0,2876.4988,1131.2189,0.648159,384,29.8935,24.99,17.428,5.806,23.2341,"RSI(14) 29.8935 < 35; VIX 24.99 >= 23.2341; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",held 12-15 months and reached +60% profit,take_profit_60_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-02-05,2017-02-06,sigma1_weekly_1lot,1,1,,,,91.1461,118.1886,86,1703.7713,3479.9635,0,0,0,0,3479.9635,1776.1922,1.042506,367,34.038,23.38,17.5258,5.8192,23.345,"RSI(14) 34.038 < 35; VIX 23.38 >= 23.345; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",held 12-15 months and reached +60% profit,take_profit_60_12_to_15m
